ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
14D,1414 Degrees Limited,Industrials,"43,516,000",0.002,,"2,160,340,953,370",
1ST,1ST Group Limited,Health Care,"16,340,800",0.001,,,
3PL,3P Learning Limited,Consumer Discretionary,"144,908,000",0.007,,Sector Breakdown,
4DS,4DS Memory Limited,Information Technology,"69,631,200",0.003,,Consumer Discretionary,2.04
5GN,5G Networks Limited,Telecommunication Services,"61,495,600",0.003,,Consumer Staples,1.93
88E,88 Energy Limited,Energy,"88,641,600",0.004,,Energy,0.64
8CO,8COMMON Limited,Information Technology,"23,611,200",0.001,,Financials,12.18
8IH,8I Holdings Limited,Financials,"21,743,300",0.001,,Health Care,5.24
8EC,8IP Emerg Co Limited,,"33,019,600",0.002,,Industrials,3.50
8VI,8VIC Holdings Limited,,"23,967,600",0.001,,Information Technology,1.44
9SP,9 Spokes Int Limited,Information Technology,"16,131,200",0.001,,Materials,7.90
ACB,A-Cap Energy Limited,Energy,"28,772,200",0.001,,Real Estate,1.12
A2B,A2B Australia Limited,Industrials,"214,367,000",0.010,,Telecommunication Services,0.12
ABP,Abacus Property Groupinary/Units Stapled Securities,Real Estate,"2,223,520,000",0.103,,Utilities,1.54
ABL,Abilene Oil & Gas,Energy,"1,192,840",0.000,,,
AEG,Absolute Equity Perf,,"94,006,900",0.004,,,
ABT,Abundant Produce Limited,Consumer Staples,"4,848,870",0.000,,,
ACS,Accent Resources NL,Materials,"1,086,000",0.000,,,
ACQ,Acorn Cap INV Fund,,"54,629,600",0.003,,,
ACF,Acrow Formwork,Industrials,"58,568,900",0.003,,,
ACR,ACRUX Limited,Health Care,"36,642,900",0.002,,,
ACW,Actinogen Medical,Health Care,"13,430,800",0.001,,,
ADA,Adacel Technologies,Information Technology,"48,037,100",0.002,,,
ADH,Adairs Limited,Consumer Discretionary,"349,996,000",0.016,,,
1AD,Adalta Limited,Health Care,"25,274,100",0.001,,,
ADD,Adavale Resource Limited,Energy,"332,579",0.000,,,
AAU,Adcorp Australia,Consumer Discretionary,"4,550,750",0.000,,,
ABC,Adelaide Brighton,Materials,"2,678,580,000",0.124,,,
ADR,Adherium Limited,Health Care,"5,925,310",0.000,,,
AHZ,Admedus Limited,Health Care,"35,396,600",0.002,,,
ADY,Admiralty Resources,Materials,"13,909,600",0.001,,,
ADT,Adriatic Metals,Materials,"95,730,900",0.004,,,
ADJ,Adslot Limited,Information Technology,"44,464,200",0.002,,,
ABV,ADV Braking Tech Limited,Consumer Discretionary,"4,455,750",0.000,,,
ADX,ADX Energy Limited,Energy,"6,065,260",0.000,,,
AER,Aeeris Limited,Information Technology,"7,365,650",0.000,,,
AEI,Aeris Environmental,Industrials,"55,054,100",0.003,,,
AEB,Affinity Energy,Health Care,"8,774,330",0.000,,,
AFR,African Energy Res,Energy,"8,146,960",0.000,,,
A1G,African Gold Limited,Materials,"3,747,190",0.000,,,
AFT,AFT Corporation,Information Technology,"9,020,530",0.000,,,
AFP,Aft Pharmaceuticals,Health Care,"243,270,000",0.011,,,
AGL,AGL Energy Limited,Utilities,"13,477,200,000",0.624,,,
AGJ,Agricultural Land Ordinary Units FP,Real Estate,"3,022,810",0.000,,,
