date,index,value
2009-07-01,world,28.1689
2009-07-01,pacific,20.9193
2009-07-01,asx200,3874.0
2009-07-01,axvi,25.145
2009-07-01,discretionary,1285.0
2009-07-01,staples,6568.2
2009-07-01,energy,14488.6
2009-07-01,financials,4195.6
2009-07-01,healthcare,8029.0
2009-07-01,industrials,2934.0
2009-07-01,infotech,518.4
2009-07-01,materials,9916.8
2009-07-01,telecom,1159.6
2009-07-01,utilities,3901.0
2009-07-01,realestate,1684.7
2009-07-01,aud_usd,0.8092
2009-07-01,twi,64.3
2009-07-01,prime,6.52
2009-07-02,world,27.3148
2009-07-02,pacific,20.1572
2009-07-02,asx200,3877.3
2009-07-02,axvi,24.35
2009-07-02,discretionary,1283.3
2009-07-02,staples,6564.9
2009-07-02,energy,14259.5
2009-07-02,financials,4181.1
2009-07-02,healthcare,8028.9
2009-07-02,industrials,2908.4
2009-07-02,infotech,515.1
2009-07-02,materials,10003.4
2009-07-02,telecom,1162.3
2009-07-02,utilities,3897.0
2009-07-02,realestate,1729.2
2009-07-02,aud_usd,0.7905
2009-07-02,twi,64.2
2009-07-03,asx200,3828.2
2009-07-03,axvi,25.518
2009-07-03,discretionary,1264.9
2009-07-03,staples,6599.6
2009-07-03,energy,14134.1
2009-07-03,financials,4144.7
2009-07-03,healthcare,7924.1
2009-07-03,industrials,2867.3
2009-07-03,infotech,510.9
2009-07-03,materials,9730.6
2009-07-03,telecom,1150.9
2009-07-03,utilities,3897.3
2009-07-03,realestate,1715.0
2009-07-03,aud_usd,0.799
2009-07-03,twi,63.8
2009-07-06,world,27.2906
2009-07-06,pacific,20.0586
2009-07-06,asx200,3783.7
2009-07-06,axvi,25.511
2009-07-06,discretionary,1250.9
2009-07-06,staples,6618.5
2009-07-06,energy,13825.1
2009-07-06,financials,4113.9
2009-07-06,healthcare,7764.3
2009-07-06,industrials,2857.2
2009-07-06,infotech,505.1
2009-07-06,materials,9510.8
2009-07-06,telecom,1138.6
2009-07-06,utilities,3841.9
2009-07-06,realestate,1715.7
2009-07-06,aud_usd,0.7957
2009-07-06,twi,63.6
2009-07-07,world,26.7427
