"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 28, 2019","13.043","12.549","13.098","12.547","-","3.97%"
"Jun 27, 2019","12.545","13.040","13.096","12.469","-","-3.67%"
"Jun 26, 2019","13.023","13.428","13.476","13.016","-","-1.82%"
"Jun 25, 2019","13.265","13.355","13.355","13.014","-","-0.93%"
"Jun 24, 2019","13.389","13.206","13.697","13.122","-","4.76%"
"Jun 21, 2019","12.781","12.990","13.003","12.728","-","-1.90%"
"Jun 20, 2019","13.029","13.232","13.232","10.588","-","-1.53%"
"Jun 19, 2019","13.232","12.999","13.560","12.982","-","0.02%"
"Jun 18, 2019","13.229","13.419","13.523","13.171","-","-1.98%"
"Jun 17, 2019","13.496","13.985","14.108","13.462","-","-0.37%"
"Jun 14, 2019","13.546","13.661","14.291","13.546","-","-2.44%"
"Jun 13, 2019","13.885","13.409","13.901","13.339","-","-0.44%"
"Jun 12, 2019","13.946","13.441","13.967","13.382","-","0.39%"
"Jun 11, 2019","13.892","13.684","14.026","13.373","-","3.98%"
"Jun 07, 2019","13.360","13.938","13.984","13.348","-","-6.39%"
"Jun 06, 2019","14.272","13.977","14.280","13.851","-","0.10%"
"Jun 05, 2019","14.258","14.706","14.706","14.234","-","-7.21%"
"Jun 04, 2019","15.366","15.807","15.915","11.861","-","-4.47%"
"Jun 03, 2019","16.085","15.902","16.126","15.865","-","7.85%"
"May 31, 2019","14.914","14.640","15.459","14.204","-","0.52%"
"May 30, 2019","14.837","14.520","14.837","14.072","-","5.80%"
"May 29, 2019","14.023","13.985","14.643","13.963","-","3.77%"
"May 28, 2019","13.513","13.396","13.534","13.011","-","-1.47%"
"May 27, 2019","13.715","13.788","13.799","13.427","-","1.59%"
"May 24, 2019","13.501","13.558","13.846","13.085","-","1.25%"
"May 23, 2019","13.334","13.150","13.508","12.839","-","-0.54%"
"May 22, 2019","13.407","13.873","13.873","13.156","-","-3.89%"
"May 21, 2019","13.950","13.688","14.213","13.543","-","0.70%"
"May 20, 2019","13.853","13.917","14.533","13.821","-","-1.20%"
"May 17, 2019","14.021","13.433","14.149","12.968","-","4.17%"
"May 16, 2019","13.460","12.952","13.490","12.843","-","0.38%"
"May 15, 2019","13.409","14.165","14.172","13.146","-","-9.02%"
"May 14, 2019","14.739","15.077","15.424","14.620","-","4.17%"
"May 13, 2019","14.149","14.298","14.408","14.095","-","1.46%"
"May 10, 2019","13.945","13.631","14.310","13.537","-","0.91%"
"May 09, 2019","13.819","14.029","14.442","13.776","-","-1.62%"
"May 08, 2019","14.046","14.194","14.298","13.704","-","6.85%"
"May 07, 2019","13.145","13.582","13.817","13.104","-","-6.79%"
"May 06, 2019","14.103","12.955","15.223","12.607","-","19.27%"
"May 03, 2019","11.824","12.239","12.269","11.779","-","-2.25%"
"May 02, 2019","12.096","11.930","12.302","11.930","-","4.19%"
"May 01, 2019","11.610","12.121","12.121","11.587","-","-5.71%"
"Apr 30, 2019","12.313","12.359","12.450","12.229","-","0.64%"
"Apr 29, 2019","12.235","12.244","12.540","12.185","-","3.94%"
"Apr 26, 2019","11.771","11.548","11.888","11.548","-","2.40%"
"Apr 24, 2019","11.495","11.398","11.732","11.341","-","-0.30%"
"Apr 23, 2019","11.530","11.705","11.894","11.266","-","5.64%"
"Apr 18, 2019","10.914","11.142","11.170","10.521","-","-1.87%"
"Apr 17, 2019","11.122","10.284","11.148","10.255","-","6.53%"
"Apr 16, 2019","10.440","10.847","10.847","10.285","-","-3.15%"
"Apr 15, 2019","10.780","11.110","11.162","10.513","-","-0.36%"
"Apr 12, 2019","10.819","10.845","11.053","10.741","-","-4.48%"
"Apr 11, 2019","11.327","11.498","11.568","11.266","-","-0.26%"
"Apr 10, 2019","11.357","11.539","11.605","11.279","-","-1.07%"
"Apr 09, 2019","11.480","11.567","11.678","11.443","-","-2.32%"
"Apr 08, 2019","11.753","11.935","11.952","11.537","-","-0.23%"
"Apr 05, 2019","11.780","11.698","12.185","11.537","-","2.16%"
"Apr 04, 2019","11.531","11.384","11.822","11.360","-","1.88%"
"Apr 03, 2019","11.318","11.015","11.321","10.932","-","-0.12%"
"Apr 02, 2019","11.332","11.273","11.584","11.253","-","-1.61%"
"Apr 01, 2019","11.517","11.889","11.895","11.509","-","-2.93%"
"Mar 29, 2019","11.865","11.763","11.878","11.381","-","-0.46%"
"Mar 28, 2019","11.920","12.382","12.393","11.884","-","-2.88%"
"Mar 27, 2019","12.274","12.582","12.747","12.236","-","-2.32%"
"Mar 26, 2019","12.565","13.160","13.171","12.463","-","-6.06%"
"Mar 25, 2019","13.376","12.402","13.400","12.394","-","18.36%"
"Mar 22, 2019","11.301","11.405","11.524","11.131","-","-2.43%"
"Mar 21, 2019","11.582","12.198","12.198","11.471","-","-4.48%"
"Mar 20, 2019","12.125","11.706","12.129","11.320","-","5.22%"
"Mar 19, 2019","11.523","11.721","11.777","11.364","-","-1.56%"
"Mar 18, 2019","11.706","12.013","12.102","11.674","-","0.52%"
"Mar 15, 2019","11.646","11.671","11.864","11.474","-","-1.08%"
"Mar 14, 2019","11.773","12.425","12.499","11.770","-","-4.93%"
"Mar 13, 2019","12.383","12.793","12.829","12.381","-","-2.30%"
"Mar 12, 2019","12.674","12.763","12.856","12.281","-","-4.34%"
"Mar 11, 2019","13.249","13.858","13.865","13.207","-","0.51%"
"Mar 08, 2019","13.182","12.178","13.253","12.092","-","10.47%"
"Mar 07, 2019","11.933","11.346","11.933","11.311","-","2.16%"
"Mar 06, 2019","11.681","12.119","12.119","11.631","-","-4.95%"
"Mar 05, 2019","12.289","12.093","12.573","12.093","-","4.54%"
"Mar 04, 2019","11.755","11.814","12.002","11.742","-","3.60%"
