Date,Price
"Jun 30, 2008",2435.136
"Jul 31, 2008",2339.012
"Aug 29, 2008",2233.981
"Sep 30, 2008",1928.685
"Oct 31, 2008",1582.988
"Nov 28, 2008",1542.65
"Dec 31, 2008",1656.219
"Jan 30, 2009",1532.81
"Feb 27, 2009",1369.571
"Mar 31, 2009",1430.357
"Apr 30, 2009",1582.131
"May 29, 2009",1756.696
"Jun 30, 2009",1791.422
"Jul 31, 2009",1909.482
"Aug 31, 2009",1976.402
"Sep 30, 2009",2010.633
"Oct 30, 2009",1981.54
"Nov 30, 2009",1982.347
"Dec 31, 2009",2006.485
"Jan 29, 2010",1979.283
"Feb 26, 2010",2011.894
"Mar 31, 2010",2114.744
"Apr 30, 2010",2109.729
"May 31, 2010",1892.087
"Jun 30, 2010",1862.864
"Jul 30, 2010",1972.18
"Aug 31, 2010",1924.322
"Sep 30, 2010",2057.508
"Oct 29, 2010",2105.054
"Nov 30, 2010",2110.661
"Dec 31, 2010",2268.884
"Jan 31, 2011",2260.67
"Feb 28, 2011",2334.098
"Mar 31, 2011",2201.766
"Apr 29, 2011",2249.939
"May 31, 2011",2191.587
"Jun 30, 2011",2192.816
"Jul 29, 2011",2235.998
"Aug 31, 2011",2069.84
"Sep 30, 2011",1914.346
"Oct 31, 2011",2014.721
"Nov 30, 2011",1899.97
"Dec 30, 2011",1900.509
"Jan 31, 2012",2023.262
"Feb 29, 2012",2114.379
"Mar 30, 2012",2093.572
"Apr 30, 2012",2062.944
"May 31, 2012",1848.85
"Jun 29, 2012",1949.329
"Jul 31, 2012",1970.428
"Aug 31, 2012",1956.465
"Sep 28, 2012",1999.167
"Oct 31, 2012",1991.932
"Nov 30, 2012",2028.146
"Dec 31, 2012",2108.951
"Jan 31, 2013",2198.475
"Feb 28, 2013",2249.437
"Mar 29, 2013",2294.769
"Apr 30, 2013",2450.744
"May 31, 2013",2272.764
"Jun 28, 2013",2243.249
"Jul 31, 2013",2278.006
"Aug 30, 2013",2239.859
"Sep 30, 2013",2401.692
"Oct 31, 2013",2440.603
"Nov 29, 2013",2431.713
"Dec 31, 2013",2430.5
"Jan 31, 2014",2321.791
"Feb 28, 2014",2362.519
"Mar 31, 2014",2349.687
"Apr 30, 2014",2331.136
"May 30, 2014",2398.097
"Jun 30, 2014",2472.003
"Jul 31, 2014",2515.199
"Aug 29, 2014",2477.33
"Sep 30, 2014",2361.813
"Oct 31, 2014",2383.097
"Nov 28, 2014",2350.009
"Dec 31, 2014",2304.459
"Jan 30, 2015",2338.461
"Feb 27, 2015",2462.298
"Mar 31, 2015",2460.296
"Apr 30, 2015",2548.71
"May 29, 2015",2541.586
"Jun 30, 2015",2477.219
"Jul 31, 2015",2474.435
"Aug 31, 2015",2275.824
"Sep 30, 2015",2130.919
"Oct 30, 2015",2324.795
"Nov 30, 2015",2296.074
"Dec 31, 2015",2314.515
"Jan 29, 2016",2119.754
"Feb 29, 2016",2075.266
"Mar 31, 2016",2207.04
"Apr 29, 2016",2288.297
"May 31, 2016",2249.837
"Jun 30, 2016",2215.484
"Jul 29, 2016",2362.401
"Aug 31, 2016",2350.199
"Sep 30, 2016",2381.193
"Oct 31, 2016",2384.691
"Nov 30, 2016",2341.268
"Dec 30, 2016",2349.051
"Jan 31, 2017",2451.667
"Feb 28, 2017",2491.024
"Mar 31, 2017",2490.743
"Apr 28, 2017",2510.994
"May 31, 2017",2544.219
"Jun 30, 2017",2576.158
"Jul 31, 2017",2647.892
"Aug 31, 2017",2642.372
"Sep 29, 2017",2652.619
"Oct 31, 2017",2745.796
"Nov 30, 2017",2811.536
"Dec 29, 2017",2855.712
"Jan 31, 2018",2979.453
"Feb 28, 2018",2912.24
"Mar 30, 2018",2812.547
"Apr 30, 2018",2851.907
"May 31, 2018",2827.677
"Jun 29, 2018",2760.937
"Jul 31, 2018",2785.481
"Aug 31, 2018",2765.698
"Sep 28, 2018",2798.385
"Oct 31, 2018",2558.309
"Nov 30, 2018",2584.342
"Dec 31, 2018",2448.064
"Jan 31, 2019",2604.345
"Feb 28, 2019",2631.74
"Mar 29, 2019",2629.408
"Apr 30, 2019",2667.931
"May 31, 2019",2564.556
"Jun 28, 2019",2679.728
