"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","2,526.80","2,514.00","2,532.10","2,508.80","21.18M","0.51%"
"Jul 18, 2019","2,514.00","2,521.40","2,530.80","2,508.60","21.46M","-0.29%"
"Jul 17, 2019","2,521.40","2,510.50","2,531.30","2,510.50","19.73M","0.43%"
"Jul 16, 2019","2,510.50","2,510.20","2,520.20","2,503.00","23.02M","0.01%"
"Jul 15, 2019","2,510.20","2,510.90","2,517.80","2,496.70","16.06M","-0.03%"
"Jul 12, 2019","2,510.90","2,517.40","2,520.10","2,507.60","29.90M","-0.26%"
"Jul 11, 2019","2,517.40","2,509.10","2,525.40","2,502.60","28.22M","0.33%"
"Jul 10, 2019","2,509.10","2,478.90","2,510.60","2,478.90","30.32M","1.22%"
"Jul 09, 2019","2,478.90","2,468.90","2,480.90","2,462.20","30.55M","0.41%"
"Jul 08, 2019","2,468.90","2,475.50","2,488.00","2,465.80","36.41M","-0.27%"
"Jul 05, 2019","2,475.50","2,454.10","2,481.10","2,451.60","24.74M","0.87%"
"Jul 04, 2019","2,454.10","2,456.60","2,471.60","2,448.30","25.87M","-0.10%"
"Jul 03, 2019","2,456.60","2,449.90","2,466.90","2,435.50","29.88M","0.27%"
"Jul 02, 2019","2,449.90","2,436.80","2,459.00","2,436.80","31.15M","0.54%"
"Jul 01, 2019","2,436.80","2,445.80","2,452.10","2,430.90","29.38M","-0.37%"
"Jun 28, 2019","2,445.80","2,460.40","2,464.90","2,445.80","33.09M","-0.59%"
"Jun 27, 2019","2,460.40","2,444.10","2,460.40","2,429.10","31.78M","0.67%"
"Jun 26, 2019","2,444.10","2,457.50","2,459.70","2,444.10","30.40M","-0.55%"
"Jun 25, 2019","2,457.50","2,460.20","2,468.50","2,456.90","29.07M","-0.11%"
"Jun 24, 2019","2,460.20","2,461.80","2,463.60","2,442.70","27.66M","-0.06%"
"Jun 21, 2019","2,461.80","2,489.60","2,493.00","2,461.80","60.24M","-1.12%"
