"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","10,586.50","10,580.30","10,601.70","10,449.70","37.66M","0.06%"
"Jul 18, 2019","10,580.30","10,826.20","10,826.20","10,548.80","50.34M","-2.27%"
"Jul 17, 2019","10,826.20","10,855.10","10,856.10","10,729.90","36.49M","-0.27%"
"Jul 16, 2019","10,855.10","11,011.00","11,014.50","10,842.80","41.02M","-1.42%"
"Jul 15, 2019","11,011.00","11,042.00","11,094.80","10,966.30","29.91M","-0.28%"
"Jul 12, 2019","11,042.00","11,030.60","11,098.30","11,002.00","44.84M","0.10%"
"Jul 11, 2019","11,030.60","10,922.30","11,075.20","10,922.30","53.21M","0.99%"
"Jul 10, 2019","10,922.30","10,898.40","10,986.50","10,898.40","39.13M","0.22%"
"Jul 09, 2019","10,898.40","10,957.20","10,986.20","10,869.90","36.89M","-0.54%"
"Jul 08, 2019","10,957.20","11,006.10","11,053.90","10,957.20","28.74M","-0.46%"
"Jul 05, 2019","11,008.10","10,859.40","11,039.40","10,859.40","38.45M","1.37%"
"Jul 04, 2019","10,859.40","10,871.20","10,981.70","10,859.40","35.47M","-0.11%"
"Jul 03, 2019","10,871.20","11,112.00","11,112.00","10,862.30","60.03M","-2.17%"
"Jul 02, 2019","11,112.00","11,058.30","11,186.90","11,044.90","43.03M","0.49%"
"Jul 01, 2019","11,058.30","10,946.30","11,165.70","10,946.30","38.55M","1.02%"
"Jun 28, 2019","10,946.30","11,135.60","11,145.10","10,918.50","49.20M","-1.70%"
"Jun 27, 2019","11,135.60","11,018.20","11,149.90","11,018.20","44.29M","1.07%"
"Jun 26, 2019","11,018.20","11,020.30","11,066.50","11,000.50","52.12M","-0.02%"
"Jun 25, 2019","11,020.30","11,074.30","11,086.60","10,975.40","44.63M","-0.49%"
"Jun 24, 2019","11,074.30","11,064.70","11,112.60","11,030.40","42.13M","0.09%"
"Jun 21, 2019","11,064.70","10,873.50","11,149.30","10,873.50","104.05M","1.76%"
"Jun 20, 2019","10,873.50","10,890.10","10,894.20","10,630.30","84.58M","-0.15%"
"Jun 19, 2019","10,890.10","10,655.80","10,929.30","10,655.80","82.04M","2.20%"
"Jun 18, 2019","10,655.80","10,642.00","10,731.30","10,611.20","61.36M","0.13%"
"Jun 17, 2019","10,642.00","10,731.90","10,750.50","10,617.00","37.86M","-0.84%"
"Jun 14, 2019","10,731.90","10,554.20","10,775.80","10,554.20","49.07M","1.68%"
"Jun 13, 2019","10,554.20","10,814.40","10,814.40","10,544.40","49.02M","-2.41%"
"Jun 12, 2019","10,814.40","10,804.40","10,891.80","10,795.10","53.49M","0.09%"
"Jun 11, 2019","10,804.40","10,612.70","10,825.90","10,612.70","47.41M","1.81%"
"Jun 07, 2019","10,612.70","10,487.10","10,647.80","10,487.10","43.58M","1.20%"
"Jun 06, 2019","10,487.10","10,496.50","10,601.10","10,431.00","49.07M","-0.09%"
"Jun 05, 2019","10,496.50","10,469.00","10,651.00","10,469.00","50.76M","0.26%"
"Jun 04, 2019","10,469.00","10,528.20","10,561.50","10,465.00","47.59M","-0.56%"
"Jun 03, 2019","10,528.20","10,725.30","10,725.30","10,508.70","43.56M","-1.84%"
"May 31, 2019","10,725.30","10,877.00","10,877.00","10,613.80","52.06M","-1.39%"
"May 30, 2019","10,877.00","11,035.00","11,035.00","10,830.50","41.06M","-1.43%"
"May 29, 2019","11,035.00","11,126.70","11,129.80","10,942.00","46.24M","-0.82%"
"May 28, 2019","11,126.70","10,980.80","11,126.70","10,978.30","50.52M","1.33%"
"May 27, 2019","10,980.80","10,977.10","11,057.40","10,927.60","38.11M","0.03%"
"May 24, 2019","10,977.10","11,324.80","11,324.80","10,942.90","39.60M","-3.07%"
"May 23, 2019","11,324.80","11,469.60","11,469.60","11,309.20","32.50M","-1.26%"
"May 22, 2019","11,469.60","11,393.10","11,515.20","11,373.60","30.15M","0.67%"
"May 21, 2019","11,393.10","11,473.30","11,473.30","11,323.00","30.83M","-0.70%"
"May 20, 2019","11,473.30","11,468.30","11,501.80","11,365.80","36.68M","0.04%"
"May 17, 2019","11,468.30","11,325.50","11,498.40","11,325.50","42.75M","1.26%"
"May 16, 2019","11,325.50","11,077.00","11,325.50","11,077.00","34.36M","2.24%"
"May 15, 2019","11,077.00","10,907.30","11,100.90","10,907.30","36.97M","1.56%"
"May 14, 2019","10,907.30","11,041.40","11,041.40","10,839.30","32.67M","-1.21%"
"May 13, 2019","11,041.40","11,046.60","11,046.60","10,934.20","23.12M","-0.05%"
"May 10, 2019","11,046.60","10,971.20","11,144.00","10,971.20","28.19M","0.69%"
"May 09, 2019","10,971.20","10,826.30","10,997.60","10,784.30","29.68M","1.34%"
"May 08, 2019","10,826.30","10,905.60","10,905.60","10,732.80","36.90M","-0.73%"
"May 07, 2019","10,905.60","10,874.90","10,992.90","10,868.80","39.21M","0.28%"
"May 06, 2019","10,874.90","11,018.20","11,018.20","10,734.10","47.59M","-1.30%"
"May 03, 2019","11,018.20","11,160.60","11,165.80","11,005.90","38.58M","-1.28%"
"May 02, 2019","11,160.60","11,251.80","11,251.80","11,091.50","34.71M","-0.81%"
"May 01, 2019","11,251.80","11,149.30","11,286.80","11,139.00","31.31M","0.92%"
"Apr 30, 2019","11,149.30","11,313.90","11,320.70","11,133.80","39.57M","-1.45%"
"Apr 29, 2019","11,313.90","11,398.20","11,398.20","11,226.50","31.70M","-0.74%"
"Apr 26, 2019","11,398.20","11,568.10","11,576.10","11,368.40","39.99M","-1.47%"
"Apr 24, 2019","11,568.10","11,570.20","11,650.80","11,508.40","43.57M","-0.02%"
"Apr 23, 2019","11,570.20","11,283.10","11,582.10","11,283.10","54.31M","2.54%"
"Apr 18, 2019","11,283.10","11,161.30","11,321.30","11,161.30","38.42M","1.09%"
"Apr 17, 2019","11,161.30","11,199.60","11,262.80","11,136.00","34.71M","-0.34%"
"Apr 16, 2019","11,199.60","11,290.10","11,290.10","11,111.40","34.35M","-0.80%"
"Apr 15, 2019","11,290.10","11,229.90","11,292.30","11,229.90","32.55M","0.54%"
"Apr 12, 2019","11,229.90","11,156.00","11,243.40","11,151.60","32.85M","0.66%"
"Apr 11, 2019","11,156.00","11,141.30","11,201.80","11,107.60","53.71M","0.13%"
"Apr 10, 2019","11,141.30","11,222.60","11,222.60","11,095.30","41.39M","-0.72%"
"Apr 09, 2019","11,222.60","10,998.30","11,245.80","10,998.30","37.76M","2.04%"
"Apr 08, 2019","10,998.30","10,840.90","11,030.00","10,840.90","34.20M","1.45%"
"Apr 05, 2019","10,840.90","10,876.20","10,924.00","10,833.90","46.64M","-0.32%"
"Apr 04, 2019","10,876.20","11,081.90","11,081.90","10,864.50","41.07M","-1.86%"
"Apr 03, 2019","11,081.90","11,112.60","11,189.70","11,046.80","30.69M","-0.28%"
"Apr 02, 2019","11,112.60","11,014.60","11,165.10","11,014.60","41.40M","0.89%"
"Apr 01, 2019","11,014.60","10,987.70","11,070.10","10,987.70","31.12M","0.24%"
"Mar 29, 2019","10,987.70","11,045.10","11,059.50","10,987.70","49.92M","-0.52%"
"Mar 28, 2019","11,045.10","10,940.80","11,060.30","10,874.80","38.76M","0.95%"
"Mar 27, 2019","10,940.80","10,950.60","10,967.00","10,877.10","44.25M","-0.09%"
"Mar 26, 2019","10,950.60","11,069.60","11,069.60","10,908.90","47.35M","-1.08%"
"Mar 25, 2019","11,069.60","11,455.30","11,455.30","11,056.00","49.55M","-3.37%"
"Mar 22, 2019","11,455.30","11,367.10","11,508.10","11,367.10","40.33M","0.78%"
"Mar 21, 2019","11,367.10","11,318.70","11,426.90","11,314.10","66.44M","0.43%"
"Mar 20, 2019","11,318.70","11,373.40","11,387.90","11,314.60","46.97M","-0.48%"
"Mar 19, 2019","11,373.40","11,432.00","11,479.50","11,313.10","51.86M","-0.51%"
"Mar 18, 2019","11,432.00","11,370.30","11,436.30","11,365.00","50.36M","0.54%"
"Mar 15, 2019","11,370.30","11,301.30","11,429.20","11,301.30","65.39M","0.61%"
"Mar 14, 2019","11,301.30","11,140.90","11,318.10","11,140.90","43.42M","1.44%"
"Mar 13, 2019","11,140.90","11,239.70","11,243.40","11,097.00","44.47M","-0.88%"
"Mar 12, 2019","11,239.70","11,167.40","11,313.30","11,167.40","49.41M","0.65%"
"Mar 11, 2019","11,167.40","11,342.90","11,342.90","11,110.50","41.65M","-1.55%"
