"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","6,343.90","6,276.50","6,362.30","6,276.50","65.35M","1.07%"
"Jul 18, 2019","6,276.50","6,300.40","6,300.40","6,253.50","62.11M","-0.38%"
"Jul 17, 2019","6,300.40","6,263.10","6,306.50","6,244.90","78.23M","0.60%"
"Jul 16, 2019","6,263.10","6,289.10","6,291.30","6,259.60","91.27M","-0.41%"
"Jul 15, 2019","6,289.10","6,337.30","6,337.30","6,264.70","120.14M","-0.84%"
"Jul 12, 2019","6,342.20","6,335.60","6,367.50","6,319.70","64.02M","0.10%"
"Jul 11, 2019","6,335.60","6,328.10","6,350.00","6,287.80","110.17M","0.12%"
"Jul 10, 2019","6,328.10","6,322.20","6,377.20","6,321.30","58.33M","0.09%"
"Jul 09, 2019","6,322.20","6,342.00","6,342.00","6,291.70","55.74M","-0.31%"
"Jul 08, 2019","6,342.00","6,415.80","6,415.80","6,333.40","51.14M","-1.15%"
"Jul 05, 2019","6,415.80","6,378.20","6,431.30","6,375.30","66.95M","0.59%"
"Jul 04, 2019","6,378.20","6,313.30","6,394.70","6,313.30","66.52M","1.03%"
"Jul 03, 2019","6,313.30","6,301.40","6,326.20","6,240.80","67.37M","0.19%"
"Jul 02, 2019","6,301.40","6,368.50","6,377.20","6,283.10","70.53M","-1.05%"
"Jul 01, 2019","6,368.50","6,353.90","6,391.20","6,346.40","72.15M","0.23%"
"Jun 28, 2019","6,353.90","6,358.00","6,407.90","6,346.70","102.42M","-0.06%"
"Jun 27, 2019","6,358.00","6,321.50","6,358.00","6,302.70","58.87M","0.58%"
"Jun 26, 2019","6,321.50","6,350.10","6,350.10","6,321.50","96.26M","-0.45%"
"Jun 25, 2019","6,350.10","6,376.90","6,376.90","6,334.30","97.79M","-0.42%"
"Jun 24, 2019","6,376.90","6,361.10","6,376.90","6,324.90","66.77M","0.25%"
"Jun 21, 2019","6,361.10","6,405.70","6,405.70","6,341.00","127.57M","-0.70%"
"Jun 20, 2019","6,405.70","6,356.40","6,405.70","6,353.30","112.74M","0.78%"
"Jun 19, 2019","6,356.40","6,289.50","6,365.90","6,289.50","83.69M","1.06%"
"Jun 18, 2019","6,289.50","6,259.30","6,289.50","6,254.10","114.14M","0.48%"
