"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","34,854.90","34,826.40","34,919.50","34,672.00","13.41M","0.08%"
"Jul 18, 2019","34,826.40","34,726.50","34,891.50","34,660.70","14.05M","0.29%"
"Jul 17, 2019","34,726.50","34,612.90","34,793.10","34,514.80","15.92M","0.33%"
"Jul 16, 2019","34,612.90","34,478.80","34,800.90","34,478.80","18.24M","0.39%"
"Jul 15, 2019","34,478.80","34,542.10","34,561.50","34,171.60","12.24M","-0.18%"
"Jul 12, 2019","34,542.10","34,652.20","34,655.80","34,328.10","13.29M","-0.32%"
"Jul 11, 2019","34,652.20","34,475.80","34,840.10","34,458.50","15.93M","0.51%"
"Jul 10, 2019","34,475.80","34,275.10","34,592.80","34,253.70","16.76M","0.59%"
"Jul 09, 2019","34,275.10","34,360.10","34,371.40","34,052.20","11.20M","-0.25%"
"Jul 08, 2019","34,360.10","34,891.60","34,891.90","34,259.30","11.62M","-1.52%"
"Jul 05, 2019","34,891.60","34,411.30","34,995.70","34,411.30","13.56M","1.40%"
"Jul 04, 2019","34,411.30","34,026.80","34,453.70","34,026.80","12.07M","1.13%"
"Jul 03, 2019","34,026.80","34,100.90","34,305.80","33,936.90","14.55M","-0.22%"
"Jul 02, 2019","34,100.90","33,869.30","34,230.10","33,867.80","16.90M","0.68%"
"Jul 01, 2019","33,869.30","33,577.40","34,108.40","33,577.40","13.95M","0.87%"
"Jun 28, 2019","33,577.40","33,620.60","33,758.90","33,401.90","18.82M","-0.13%"
"Jun 27, 2019","33,620.60","33,706.20","33,706.20","33,316.50","20.06M","-0.25%"
"Jun 26, 2019","33,706.20","33,579.30","33,779.00","33,546.90","22.45M","0.38%"
"Jun 25, 2019","33,579.30","33,517.40","33,762.70","33,471.90","19.66M","0.18%"
"Jun 24, 2019","33,517.40","33,440.80","33,525.50","33,239.60","14.90M","0.23%"
"Jun 21, 2019","33,440.80","34,278.20","34,284.50","33,322.80","20.54M","-2.44%"
"Jun 20, 2019","34,278.20","34,063.00","34,370.80","34,051.50","27.41M","0.63%"
"Jun 19, 2019","34,063.00","33,555.50","34,063.00","33,553.00","23.14M","1.51%"
"Jun 18, 2019","33,555.50","33,116.70","33,692.60","33,040.40","20.62M","1.33%"
"Jun 17, 2019","33,116.70","33,331.70","33,360.00","33,070.00","11.78M","-0.65%"
"Jun 14, 2019","33,331.70","33,259.00","33,416.40","33,192.80","14.08M","0.22%"
"Jun 13, 2019","33,259.00","32,708.50","33,533.80","32,708.50","13.08M","1.68%"
"Jun 12, 2019","32,708.50","33,277.10","33,277.10","32,672.70","17.56M","-1.71%"
"Jun 11, 2019","33,277.10","32,141.20","33,277.10","32,141.20","20.22M","3.53%"
"Jun 07, 2019","32,141.20","31,741.00","32,141.20","31,740.10","15.66M","1.26%"
"Jun 06, 2019","31,741.00","31,639.50","31,928.00","31,639.50","14.56M","0.32%"
"Jun 05, 2019","31,639.50","31,741.80","32,022.00","31,603.30","15.12M","-0.32%"
"Jun 04, 2019","31,741.80","32,071.60","32,304.80","31,707.10","17.23M","-1.03%"
"Jun 03, 2019","32,071.60","32,222.80","32,226.90","31,890.80","13.44M","-0.47%"
"May 31, 2019","32,222.80","31,951.60","32,222.80","31,902.80","17.43M","0.85%"
"May 30, 2019","31,951.60","32,124.90","32,124.90","31,661.90","20.38M","-0.54%"
"May 29, 2019","32,124.90","32,472.40","32,474.00","32,040.60","11.84M","-1.07%"
"May 28, 2019","32,472.40","32,422.10","32,550.20","32,213.40","23.60M","0.16%"
"May 27, 2019","32,422.10","32,425.80","32,527.30","32,264.80","16.42M","-0.01%"
"May 24, 2019","32,425.80","32,381.80","32,566.20","32,273.20","53.80M","0.14%"
"May 23, 2019","32,381.80","32,394.00","32,639.50","32,245.60","79.47M","-0.04%"
"May 22, 2019","32,394.00","32,348.60","32,421.80","32,130.40","25.33M","0.14%"
"May 21, 2019","32,348.60","32,355.40","32,430.80","32,081.10","27.17M","-0.02%"
"May 20, 2019","32,355.40","32,308.40","32,401.00","32,076.10","26.95M","0.15%"
"May 17, 2019","32,308.40","31,820.80","32,372.20","31,820.80","20.72M","1.53%"
"May 16, 2019","31,820.80","31,618.50","31,820.80","31,459.90","56.37M","0.64%"
