"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","1,359.50","1,347.00","1,360.80","1,340.10","11.18M","0.93%"
"Jul 18, 2019","1,347.00","1,343.70","1,354.30","1,339.90","9.11M","0.25%"
"Jul 17, 2019","1,343.70","1,338.70","1,344.40","1,327.90","10.85M","0.37%"
"Jul 16, 2019","1,338.70","1,352.50","1,360.70","1,338.70","11.55M","-1.02%"
"Jul 15, 2019","1,352.50","1,383.40","1,383.50","1,352.50","11.39M","-2.23%"
"Jul 12, 2019","1,383.40","1,392.60","1,394.10","1,377.20","18.52M","-0.66%"
"Jul 11, 2019","1,392.60","1,373.60","1,396.30","1,373.60","13.01M","1.38%"
"Jul 10, 2019","1,373.60","1,348.80","1,380.50","1,348.80","14.85M","1.84%"
"Jul 09, 2019","1,348.80","1,372.80","1,373.10","1,347.00","14.26M","-1.75%"
"Jul 08, 2019","1,372.80","1,386.30","1,396.80","1,372.60","9.25M","-0.97%"
"Jul 05, 2019","1,386.30","1,379.90","1,390.70","1,371.10","13.26M","0.46%"
"Jul 04, 2019","1,379.90","1,382.40","1,397.50","1,379.00","12.59M","-0.18%"
"Jul 03, 2019","1,382.40","1,378.40","1,391.40","1,375.20","13.14M","0.29%"
"Jul 02, 2019","1,378.40","1,362.50","1,388.10","1,362.50","16.27M","1.17%"
"Jul 01, 2019","1,362.50","1,330.60","1,367.50","1,321.80","19.66M","2.40%"
"Jun 28, 2019","1,330.60","1,355.50","1,368.00","1,325.00","21.18M","-1.84%"
"Jun 27, 2019","1,355.50","1,352.50","1,359.90","1,340.50","17.83M","0.22%"
"Jun 26, 2019","1,352.50","1,352.80","1,359.30","1,342.70","20.65M","-0.02%"
"Jun 25, 2019","1,352.80","1,361.60","1,362.50","1,348.00","13.48M","-0.65%"
"Jun 24, 2019","1,361.60","1,356.60","1,361.70","1,349.00","12.87M","0.37%"
"Jun 21, 2019","1,356.60","1,372.80","1,379.30","1,352.10","30.01M","-1.18%"
"Jun 20, 2019","1,372.80","1,342.80","1,373.90","1,342.80","23.17M","2.23%"
"Jun 19, 2019","1,342.80","1,321.80","1,350.10","1,321.80","23.93M","1.59%"
"Jun 18, 2019","1,321.80","1,306.60","1,332.50","1,304.60","20.71M","1.16%"
"Jun 17, 2019","1,306.60","1,313.40","1,317.80","1,304.30","16.83M","-0.52%"
"Jun 14, 2019","1,313.40","1,309.40","1,319.90","1,303.20","19.55M","0.31%"
"Jun 13, 2019","1,309.40","1,349.60","1,349.60","1,306.20","24.83M","-2.98%"
"Jun 12, 2019","1,349.60","1,338.20","1,361.70","1,338.20","25.46M","0.85%"
"Jun 11, 2019","1,338.20","1,317.80","1,344.10","1,317.80","17.19M","1.55%"
"Jun 07, 2019","1,317.80","1,302.30","1,320.20","1,301.80","15.10M","1.19%"
"Jun 06, 2019","1,302.30","1,292.60","1,314.80","1,292.60","18.14M","0.75%"
"Jun 05, 2019","1,292.60","1,266.30","1,303.20","1,266.30","29.11M","2.08%"
"Jun 04, 2019","1,266.30","1,297.40","1,297.40","1,260.70","22.25M","-2.40%"
"Jun 03, 2019","1,297.40","1,317.90","1,319.50","1,296.40","24.92M","-1.56%"
"May 31, 2019","1,317.90","1,363.50","1,370.20","1,314.80","31.90M","-3.34%"
"May 30, 2019","1,363.50","1,377.00","1,377.00","1,354.50","12.06M","-0.98%"
"May 29, 2019","1,377.00","1,383.10","1,383.10","1,365.70","11.63M","-0.44%"
"May 28, 2019","1,383.10","1,353.90","1,383.10","1,353.90","16.98M","2.16%"
"May 27, 2019","1,353.90","1,336.40","1,353.90","1,336.40","7.31M","1.31%"
"May 24, 2019","1,336.40","1,360.10","1,360.10","1,332.40","14.39M","-1.74%"
"May 23, 2019","1,360.10","1,339.10","1,361.90","1,339.10","14.78M","1.57%"
"May 22, 2019","1,339.10","1,338.90","1,349.10","1,338.10","13.59M","0.01%"
"May 21, 2019","1,338.90","1,387.30","1,387.30","1,333.80","19.44M","-3.49%"
"May 20, 2019","1,387.30","1,407.40","1,415.40","1,384.50","10.38M","-1.43%"
"May 17, 2019","1,407.40","1,387.10","1,421.70","1,387.10","13.42M","1.46%"
"May 16, 2019","1,387.10","1,365.60","1,387.10","1,361.80","14.03M","1.57%"
"May 15, 2019","1,365.60","1,348.30","1,372.30","1,348.30","9.39M","1.28%"
"May 14, 2019","1,348.30","1,363.90","1,363.90","1,317.90","15.25M","-1.14%"
"May 13, 2019","1,363.90","1,367.40","1,374.60","1,360.40","7.87M","-0.26%"
"May 10, 2019","1,367.40","1,360.50","1,376.80","1,356.40","10.36M","0.51%"
"May 09, 2019","1,360.50","1,355.30","1,380.20","1,353.30","10.46M","0.38%"
"May 08, 2019","1,355.30","1,386.60","1,386.60","1,355.10","12.57M","-2.26%"
"May 07, 2019","1,386.60","1,378.70","1,399.10","1,378.70","9.96M","0.57%"
"May 06, 2019","1,378.70","1,405.10","1,405.10","1,369.30","12.29M","-1.88%"
