"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2019","13,268.10","13,403.50","13,403.50","13,137.00","289.74M","-1.01%"
"Aug 05, 2019","13,403.50","13,789.60","13,789.60","13,403.50","218.45M","-2.80%"
"Aug 02, 2019","13,789.60","13,970.90","13,970.90","13,746.70","204.80M","-1.30%"
"Aug 01, 2019","13,970.90","14,188.00","14,188.00","13,962.00","175.22M","-1.53%"
"Jul 31, 2019","14,188.00","14,230.60","14,244.80","14,134.60","193.76M","-0.30%"
"Jul 30, 2019","14,230.60","14,151.60","14,287.60","14,151.60","167.57M","0.56%"
"Jul 29, 2019","14,151.60","14,148.50","14,212.40","14,100.30","126.19M","0.02%"
"Jul 26, 2019","14,148.50","14,081.20","14,168.00","14,018.30","181.50M","0.48%"
"Jul 25, 2019","14,081.20","14,288.90","14,288.90","14,023.00","216.41M","-1.45%"
"Jul 24, 2019","14,288.90","14,357.70","14,462.70","14,243.20","190.37M","-0.48%"
"Jul 23, 2019","14,357.70","14,337.40","14,385.60","14,272.30","179.51M","0.14%"
"Jul 22, 2019","14,337.40","14,198.20","14,340.40","14,198.20","156.24M","0.98%"
"Jul 19, 2019","14,198.20","14,045.00","14,241.00","14,018.60","162.41M","1.09%"
"Jul 18, 2019","14,045.00","14,106.40","14,151.70","13,996.20","172.04M","-0.44%"
"Jul 17, 2019","14,106.40","14,023.20","14,123.80","13,972.00","147.86M","0.59%"
"Jul 16, 2019","14,023.20","14,024.70","14,127.90","14,005.20","145.83M","-0.01%"
"Jul 15, 2019","14,024.70","13,998.70","14,102.00","13,947.90","121.53M","0.19%"
"Jul 12, 2019","13,998.70","14,081.90","14,083.30","13,918.80","170.76M","-0.59%"
"Jul 11, 2019","14,081.90","13,966.20","14,105.40","13,966.20","174.17M","0.83%"
"Jul 10, 2019","13,966.20","14,030.00","14,046.90","13,939.50","174.71M","-0.45%"
"Jul 09, 2019","14,030.00","13,997.70","14,126.00","13,967.70","177.89M","0.23%"
"Jul 08, 2019","13,997.70","14,159.60","14,159.60","13,959.80","129.78M","-1.14%"
"Jul 05, 2019","14,159.60","14,289.10","14,289.10","14,154.80","179.28M","-0.91%"
"Jul 04, 2019","14,289.10","14,349.70","14,385.40","14,248.50","155.88M","-0.42%"
"Jul 03, 2019","14,349.70","14,266.50","14,400.10","14,266.50","176.81M","0.58%"
"Jul 02, 2019","14,266.50","14,113.50","14,299.30","14,113.50","159.81M","1.08%"
"Jul 01, 2019","14,113.50","14,050.70","14,186.50","14,050.70","148.17M","0.45%"
"Jun 28, 2019","14,050.70","14,269.70","14,269.70","14,032.10","211.88M","-1.53%"
"Jun 27, 2019","14,269.70","14,054.00","14,272.80","14,054.00","164.35M","1.53%"
"Jun 26, 2019","14,054.00","14,057.10","14,103.50","14,015.60","206.35M","-0.02%"
"Jun 25, 2019","14,057.10","14,031.20","14,155.40","14,018.20","193.49M","0.18%"
"Jun 24, 2019","14,031.20","13,999.40","14,037.70","13,942.00","168.60M","0.23%"
"Jun 21, 2019","13,999.40","13,945.20","14,089.90","13,945.20","354.17M","0.39%"
"Jun 20, 2019","13,945.20","13,931.60","13,945.20","13,728.90","274.11M","0.10%"
"Jun 19, 2019","13,931.60","13,725.00","13,974.30","13,725.00","198.21M","1.51%"
"Jun 18, 2019","13,725.00","13,710.10","13,760.00","13,675.10","237.26M","0.11%"
"Jun 17, 2019","13,710.10","13,852.90","13,852.90","13,638.40","174.28M","-1.03%"
"Jun 14, 2019","13,852.90","13,582.00","13,863.20","13,582.00","172.29M","1.99%"
"Jun 13, 2019","13,582.00","13,633.30","13,654.90","13,563.60","164.59M","-0.38%"
"Jun 12, 2019","13,633.30","13,357.20","13,651.50","13,357.20","173.39M","2.07%"
"Jun 11, 2019","13,357.20","13,170.70","13,358.70","13,170.70","204.10M","1.42%"
"Jun 07, 2019","13,170.70","12,985.40","13,170.70","12,985.40","237.04M","1.43%"
"Jun 06, 2019","12,985.40","13,121.90","13,121.90","12,984.30","157.82M","-1.04%"
"Jun 05, 2019","13,121.90","13,104.70","13,232.80","13,100.50","163.44M","0.13%"
"Jun 04, 2019","13,104.70","13,016.30","13,191.90","13,016.30","218.80M","0.68%"
"Jun 03, 2019","13,016.30","13,220.60","13,220.60","12,995.20","195.09M","-1.55%"
"May 31, 2019","13,220.60","13,121.70","13,242.10","13,098.80","218.31M","0.75%"
"May 30, 2019","13,121.70","13,351.30","13,351.30","13,114.80","214.60M","-1.72%"
"May 29, 2019","13,351.30","13,444.00","13,444.00","13,313.10","170.35M","-0.69%"
"May 28, 2019","13,444.00","13,324.20","13,507.40","13,324.20","190.74M","0.90%"
"May 27, 2019","13,324.20","13,221.40","13,379.90","13,221.40","108.36M","0.78%"
"May 24, 2019","13,221.40","13,257.20","13,257.20","13,175.60","161.39M","-0.27%"
"May 23, 2019","13,257.20","13,373.20","13,373.20","13,238.70","186.63M","-0.87%"
"May 22, 2019","13,373.20","13,336.80","13,384.20","13,287.60","189.05M","0.27%"
"May 21, 2019","13,336.80","13,350.80","13,359.80","13,219.00","178.10M","-0.10%"
"May 20, 2019","13,350.80","13,386.90","13,405.20","13,322.50","165.96M","-0.27%"
"May 17, 2019","13,386.90","13,170.30","13,388.20","13,170.30","187.74M","1.64%"
"May 16, 2019","13,170.30","13,028.60","13,170.30","13,002.80","171.82M","1.09%"
"May 15, 2019","13,028.60","12,858.80","13,046.10","12,858.80","147.23M","1.32%"
"May 14, 2019","12,858.80","12,828.10","12,862.50","12,720.60","203.22M","0.24%"
