"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","3,817.38","3,817.38","3,817.38","3,817.38","-","0.26%"
"Jul 18, 2019","3,807.61","3,807.61","3,807.61","3,807.61","-","0.33%"
"Jul 17, 2019","3,795.15","3,795.15","3,795.15","3,795.15","-","-0.31%"
"Jul 16, 2019","3,806.98","3,806.98","3,806.98","3,806.98","-","0.70%"
"Jul 15, 2019","3,780.53","3,780.53","3,780.53","3,780.53","-","-1.31%"
"Jul 12, 2019","3,830.80","3,830.80","3,830.80","3,830.80","-","-0.67%"
"Jul 11, 2019","3,856.70","3,856.70","3,856.70","3,856.70","-","0.34%"
"Jul 10, 2019","3,843.80","3,843.80","3,843.80","3,843.80","-","0.32%"
"Jul 09, 2019","3,831.70","3,831.70","3,831.70","3,831.70","-","-0.03%"
"Jul 08, 2019","3,832.74","3,832.74","3,832.74","3,832.74","-","-2.19%"
"Jul 05, 2019","3,918.53","3,918.53","3,918.53","3,918.53","-","1.86%"
"Jul 04, 2019","3,847.11","3,847.11","3,847.11","3,847.11","-","1.12%"
"Jul 03, 2019","3,804.40","3,804.40","3,804.40","3,804.40","-","1.91%"
"Jul 02, 2019","3,733.01","3,733.01","3,733.01","3,733.01","-","0.49%"
"Jul 01, 2019","3,714.82","3,714.82","3,714.82","3,714.82","-","1.21%"
"Jun 28, 2019","3,670.48","3,670.48","3,670.48","3,670.48","-","-1.30%"
"Jun 27, 2019","3,718.78","3,718.78","3,718.78","3,718.78","-","-2.17%"
"Jun 26, 2019","3,801.38","3,801.38","3,801.38","3,801.38","-","-0.86%"
"Jun 25, 2019","3,834.53","3,834.53","3,834.53","3,834.53","-","0.58%"
"Jun 24, 2019","3,812.43","3,812.43","3,812.43","3,812.43","-","1.32%"
"Jun 21, 2019","3,762.65","3,762.65","3,762.65","3,762.65","-","0.01%"
"Jun 20, 2019","3,762.35","3,762.35","3,762.35","3,762.35","-","0.22%"
"Jun 19, 2019","3,754.12","3,754.12","3,754.12","3,754.12","-","-0.01%"
"Jun 18, 2019","3,754.61","3,754.61","3,754.61","3,754.61","-","1.44%"
"Jun 17, 2019","3,701.16","3,701.16","3,701.16","3,701.16","-","-0.91%"
"Jun 14, 2019","3,735.02","3,735.02","3,735.02","3,735.02","-","0.19%"
"Jun 13, 2019","3,727.99","3,727.99","3,727.99","3,727.99","-","0.26%"
"Jun 12, 2019","3,718.33","3,718.33","3,718.33","3,718.33","-","-0.62%"
"Jun 11, 2019","3,741.64","3,741.64","3,741.64","3,741.64","-","0.93%"
"Jun 07, 2019","3,707.06","3,707.06","3,707.06","3,707.06","-","0.92%"
"Jun 06, 2019","3,673.27","3,673.27","3,673.27","3,673.27","-","2.00%"
"Jun 05, 2019","3,601.41","3,601.41","3,601.41","3,601.41","-","-1.39%"
"Jun 04, 2019","3,652.02","3,652.02","3,652.02","3,652.02","-","0.79%"
"Jun 03, 2019","3,623.39","3,623.39","3,623.39","3,623.39","-","0.42%"
"May 31, 2019","3,608.16","3,608.16","3,608.16","3,608.16","-","0.45%"
"May 30, 2019","3,591.94","3,591.94","3,591.94","3,591.94","-","-1.73%"
"May 29, 2019","3,655.19","3,655.19","3,655.19","3,655.19","-","-1.13%"
"May 28, 2019","3,697.10","3,697.10","3,697.10","3,697.10","-","-0.16%"
"May 27, 2019","3,703.17","3,703.17","3,703.17","3,703.17","-","-0.08%"
"May 24, 2019","3,706.29","3,706.29","3,706.29","3,706.29","-","0.11%"
"May 23, 2019","3,702.28","3,702.28","3,702.28","3,702.28","-","0.69%"
"May 22, 2019","3,677.02","3,677.02","3,677.02","3,677.02","-","0.04%"
