"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2019","11,949.40","12,255.00","12,255.00","11,767.90","29.33M","-2.49%"
"Aug 05, 2019","12,255.00","12,423.10","12,423.10","12,246.30","23.53M","-1.35%"
"Aug 02, 2019","12,423.10","12,452.70","12,452.70","12,343.80","28.60M","-0.24%"
"Aug 01, 2019","12,452.70","12,510.00","12,510.00","12,355.30","24.16M","-0.46%"
"Jul 31, 2019","12,510.00","12,507.40","12,593.10","12,502.70","27.56M","0.02%"
"Jul 30, 2019","12,507.40","12,471.60","12,554.90","12,471.60","19.06M","0.29%"
"Jul 29, 2019","12,471.60","12,380.90","12,512.20","12,380.90","27.47M","0.73%"
"Jul 26, 2019","12,380.90","12,420.80","12,429.30","12,338.60","26.71M","-0.32%"
"Jul 25, 2019","12,420.80","12,253.20","12,420.80","12,253.20","24.33M","1.37%"
"Jul 24, 2019","12,253.20","12,188.30","12,269.00","12,188.30","28.62M","0.53%"
"Jul 23, 2019","12,188.30","12,094.80","12,226.40","12,093.80","24.97M","0.77%"
"Jul 22, 2019","12,094.80","12,080.80","12,116.70","12,034.50","21.02M","0.12%"
"Jul 19, 2019","12,080.80","11,998.70","12,114.10","11,945.50","20.94M","0.68%"
"Jul 18, 2019","11,998.70","12,038.00","12,038.00","11,976.60","20.53M","-0.33%"
"Jul 17, 2019","12,038.00","11,906.30","12,058.70","11,906.30","21.23M","1.11%"
"Jul 16, 2019","11,906.30","11,906.10","11,946.40","11,868.50","26.71M","0.00%"
"Jul 15, 2019","11,906.10","11,943.70","11,948.60","11,835.30","13.26M","-0.31%"
"Jul 12, 2019","11,943.70","12,017.20","12,037.60","11,931.40","22.34M","-0.61%"
"Jul 11, 2019","12,017.20","12,006.70","12,050.10","11,956.90","27.46M","0.09%"
"Jul 10, 2019","12,006.70","11,779.20","12,006.70","11,779.20","26.99M","1.93%"
"Jul 09, 2019","11,779.20","11,672.10","11,779.20","11,662.80","21.08M","0.92%"
"Jul 08, 2019","11,672.10","11,752.90","11,771.00","11,657.40","17.39M","-0.69%"
"Jul 05, 2019","11,752.90","11,698.70","11,785.30","11,684.30","17.81M","0.46%"
"Jul 04, 2019","11,698.70","11,659.70","11,771.00","11,659.70","17.32M","0.33%"
"Jul 03, 2019","11,659.70","11,428.70","11,698.00","11,428.70","26.94M","2.02%"
"Jul 02, 2019","11,428.70","11,371.30","11,492.90","11,371.30","22.10M","0.50%"
"Jul 01, 2019","11,371.30","11,402.00","11,505.80","11,351.20","22.63M","-0.27%"
"Jun 28, 2019","11,402.00","11,450.60","11,500.70","11,400.20","33.56M","-0.42%"
"Jun 27, 2019","11,450.60","11,353.40","11,450.60","11,298.20","22.65M","0.86%"
"Jun 26, 2019","11,353.40","11,388.00","11,415.30","11,337.90","34.23M","-0.30%"
"Jun 25, 2019","11,388.00","11,332.40","11,407.10","11,332.40","33.04M","0.49%"
"Jun 24, 2019","11,332.40","11,406.10","11,422.90","11,249.90","26.87M","-0.65%"
"Jun 21, 2019","11,406.10","11,543.90","11,543.90","11,372.90","40.56M","-1.19%"
"Jun 20, 2019","11,543.90","11,489.20","11,571.20","11,477.80","35.01M","0.48%"
"Jun 19, 2019","11,489.20","11,303.60","11,492.80","11,303.60","30.42M","1.64%"
"Jun 18, 2019","11,303.60","11,213.90","11,367.60","11,209.90","37.05M","0.80%"
"Jun 17, 2019","11,213.90","11,291.60","11,291.60","11,189.20","22.34M","-0.69%"
"Jun 14, 2019","11,291.60","11,335.80","11,349.00","11,256.00","22.21M","-0.39%"
"Jun 13, 2019","11,335.80","11,323.50","11,383.80","11,314.00","25.84M","0.11%"
"Jun 12, 2019","11,323.50","11,276.80","11,354.50","11,276.80","34.15M","0.41%"
"Jun 11, 2019","11,276.80","11,086.70","11,284.90","11,086.60","34.07M","1.71%"
"Jun 07, 2019","11,086.70","10,944.10","11,086.70","10,944.10","26.00M","1.30%"
"Jun 06, 2019","10,944.10","10,926.00","11,028.10","10,910.60","28.20M","0.17%"
"Jun 05, 2019","10,926.00","10,910.20","10,974.70","10,910.20","33.47M","0.14%"
"Jun 04, 2019","10,910.20","10,946.20","10,961.50","10,885.80","39.39M","-0.33%"
"Jun 03, 2019","10,946.20","11,067.80","11,071.00","10,922.00","29.24M","-1.10%"
"May 31, 2019","11,067.80","11,100.20","11,101.60","11,027.90","54.51M","-0.29%"
"May 30, 2019","11,100.20","11,224.80","11,224.80","11,067.40","58.52M","-1.11%"
"May 29, 2019","11,224.80","11,336.90","11,336.90","11,211.40","27.16M","-0.99%"
"May 28, 2019","11,336.90","11,316.10","11,344.40","11,245.40","35.27M","0.18%"
"May 27, 2019","11,316.10","11,402.40","11,402.40","11,257.90","26.01M","-0.76%"
"May 24, 2019","11,402.40","11,638.10","11,638.10","11,376.90","27.87M","-2.03%"
"May 23, 2019","11,638.10","11,670.70","11,745.10","11,638.10","28.27M","-0.28%"
"May 22, 2019","11,670.70","11,687.60","11,759.10","11,661.10","25.43M","-0.14%"
"May 21, 2019","11,687.60","11,855.50","11,855.50","11,571.70","24.30M","-1.42%"
"May 20, 2019","11,855.50","11,760.10","11,871.80","11,753.20","19.80M","0.81%"
"May 17, 2019","11,760.10","11,556.70","11,762.30","11,556.70","27.00M","1.76%"
"May 16, 2019","11,556.70","11,511.50","11,556.70","11,484.60","33.29M","0.39%"
"May 15, 2019","11,511.50","11,433.40","11,540.00","11,427.40","23.03M","0.68%"
"May 14, 2019","11,433.40","11,412.20","11,439.30","11,304.00","23.41M","0.19%"
"May 13, 2019","11,412.20","11,406.20","11,469.50","11,387.20","23.27M","0.05%"
"May 10, 2019","11,406.20","11,393.70","11,432.40","11,376.60","21.68M","0.11%"
"May 09, 2019","11,393.70","11,400.60","11,424.90","11,343.80","21.32M","-0.06%"
"May 08, 2019","11,400.60","11,485.60","11,485.60","11,359.90","20.74M","-0.74%"
"May 07, 2019","11,485.60","11,465.90","11,508.40","11,411.00","20.29M","0.17%"
"May 06, 2019","11,465.90","11,661.50","11,661.50","11,447.60","20.61M","-1.68%"
"May 03, 2019","11,661.50","11,573.20","11,686.70","11,561.40","17.82M","0.76%"
"May 02, 2019","11,573.20","11,559.60","11,656.90","11,530.20","18.51M","0.12%"
"May 01, 2019","11,559.60","11,555.00","11,577.30","11,458.90","22.38M","0.04%"
"Apr 30, 2019","11,555.00","11,521.00","11,573.00","11,510.20","24.49M","0.30%"
"Apr 29, 2019","11,521.00","11,542.00","11,581.80","11,494.00","17.56M","-0.18%"
"Apr 26, 2019","11,542.00","11,528.40","11,555.60","11,469.30","24.10M","0.12%"
"Apr 24, 2019","11,528.40","11,363.90","11,540.80","11,363.90","32.68M","1.45%"
"Apr 23, 2019","11,363.90","11,224.30","11,370.90","11,224.30","20.15M","1.24%"
"Apr 18, 2019","11,224.30","11,174.00","11,240.10","11,165.90","17.70M","0.45%"
"Apr 17, 2019","11,174.00","11,223.60","11,240.50","11,146.00","17.38M","-0.44%"
"Apr 16, 2019","11,223.60","11,112.30","11,230.30","11,089.10","24.71M","1.00%"
"Apr 15, 2019","11,112.30","10,993.70","11,117.40","10,964.50","21.19M","1.08%"
"Apr 12, 2019","10,993.70","10,794.60","10,993.70","10,794.60","27.43M","1.84%"
"Apr 11, 2019","10,794.60","10,799.90","10,853.60","10,789.10","17.45M","-0.05%"
"Apr 10, 2019","10,799.90","10,776.60","10,836.10","10,743.00","15.65M","0.22%"
"Apr 09, 2019","10,776.60","10,817.80","10,828.60","10,743.80","20.24M","-0.38%"
"Apr 08, 2019","10,817.80","10,792.20","10,877.60","10,792.20","16.55M","0.24%"
"Apr 05, 2019","10,792.20","10,932.90","10,932.90","10,741.90","28.27M","-1.29%"
"Apr 04, 2019","10,932.90","10,992.70","10,992.70","10,903.90","94.32M","-0.54%"
"Apr 03, 2019","10,992.70","10,975.70","11,009.80","10,935.50","41.10M","0.15%"
"Apr 02, 2019","10,975.70","10,964.70","11,005.30","10,928.20","38.01M","0.10%"
"Apr 01, 2019","10,964.70","10,764.20","11,008.40","10,764.20","29.08M","1.86%"
"Mar 29, 2019","10,764.20","10,752.80","10,828.80","10,744.70","28.39M","0.11%"
"Mar 28, 2019","10,752.80","10,696.30","10,762.00","10,608.90","24.84M","0.53%"
"Mar 27, 2019","10,696.30","10,706.20","10,716.90","10,620.50","21.55M","-0.09%"
"Mar 26, 2019","10,706.20","10,689.40","10,753.80","10,688.70","26.02M","0.16%"
"Mar 25, 2019","10,689.40","10,767.00","10,767.00","10,661.70","18.87M","-0.72%"
"Mar 22, 2019","10,767.00","10,725.80","10,847.60","10,725.80","20.49M","0.38%"
"Mar 21, 2019","10,725.80","10,757.90","10,777.40","10,660.30","30.26M","-0.30%"
"Mar 20, 2019","10,757.90","10,716.80","10,791.90","10,691.90","23.90M","0.38%"
"Mar 19, 2019","10,716.80","10,764.90","10,782.00","10,698.00","25.61M","-0.45%"
"Mar 18, 2019","10,764.90","10,744.70","10,776.70","10,714.80","21.93M","0.19%"
"Mar 15, 2019","10,744.70","10,710.90","10,773.70","10,681.00","40.96M","0.32%"
"Mar 14, 2019","10,710.90","10,673.80","10,723.60","10,647.00","27.12M","0.35%"
"Mar 13, 2019","10,673.80","10,657.30","10,678.60","10,624.20","28.29M","0.15%"
"Mar 12, 2019","10,657.30","10,672.60","10,759.90","10,657.30","26.58M","-0.14%"
"Mar 11, 2019","10,672.60","10,765.70","10,772.90","10,665.40","24.11M","-0.86%"
"Mar 08, 2019","10,765.70","10,824.10","10,832.60","10,765.70","26.96M","-0.54%"
"Mar 07, 2019","10,824.10","10,738.70","10,862.10","10,738.70","39.09M","0.80%"
"Mar 06, 2019","10,738.70","10,683.00","10,746.70","10,661.60","50.40M","0.52%"
"Mar 05, 2019","10,683.00","10,586.60","10,697.70","10,539.40","45.64M","0.91%"
"Mar 04, 2019","10,586.60","10,464.40","10,649.80","10,464.40","30.91M","1.17%"
"Mar 01, 2019","10,464.40","10,385.10","10,514.80","10,376.70","34.07M","0.76%"
"Feb 28, 2019","10,385.10","10,532.50","10,532.50","10,340.70","40.73M","-1.40%"
"Feb 27, 2019","10,532.50","10,442.80","10,552.30","10,401.80","35.55M","0.86%"
"Feb 26, 2019","10,442.80","10,485.50","10,485.50","10,395.90","31.06M","-0.41%"
"Feb 25, 2019","10,485.50","10,442.40","10,490.80","10,420.60","40.62M","0.41%"
"Feb 22, 2019","10,442.40","10,347.50","10,448.60","10,308.00","33.17M","0.92%"
"Feb 21, 2019","10,347.50","10,364.20","10,384.50","10,277.00","50.80M","-0.16%"
