"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2019","1,306.60","1,343.40","1,343.40","1,296.30","60.67M","-2.74%"
"Aug 05, 2019","1,343.40","1,364.40","1,364.60","1,340.70","35.96M","-1.54%"
"Aug 02, 2019","1,364.40","1,362.20","1,367.70","1,357.80","39.45M","0.16%"
"Aug 01, 2019","1,362.20","1,365.40","1,367.60","1,356.70","33.55M","-0.23%"
"Jul 31, 2019","1,365.40","1,364.20","1,372.00","1,362.70","70.67M","0.09%"
"Jul 30, 2019","1,364.20","1,350.60","1,380.40","1,350.60","71.16M","1.01%"
"Jul 29, 2019","1,350.60","1,330.10","1,354.50","1,330.10","53.32M","1.54%"
"Jul 26, 2019","1,330.10","1,343.50","1,344.10","1,330.10","83.34M","-1.00%"
"Jul 25, 2019","1,343.50","1,332.90","1,344.20","1,332.80","47.02M","0.80%"
"Jul 24, 2019","1,332.90","1,311.00","1,333.20","1,311.00","53.10M","1.67%"
"Jul 23, 2019","1,311.00","1,307.30","1,317.30","1,304.60","58.65M","0.28%"
"Jul 22, 2019","1,307.30","1,317.70","1,325.00","1,301.70","40.13M","-0.79%"
"Jul 19, 2019","1,317.70","1,309.90","1,318.70","1,302.10","31.20M","0.60%"
"Jul 18, 2019","1,309.90","1,305.70","1,310.20","1,297.70","34.80M","0.32%"
"Jul 17, 2019","1,305.70","1,296.60","1,310.50","1,288.40","51.23M","0.70%"
"Jul 16, 2019","1,296.60","1,314.10","1,315.90","1,296.30","42.99M","-1.33%"
"Jul 15, 2019","1,314.10","1,341.70","1,341.70","1,309.80","28.79M","-2.06%"
"Jul 12, 2019","1,341.70","1,343.10","1,345.80","1,337.30","30.70M","-0.10%"
"Jul 11, 2019","1,343.10","1,336.90","1,345.40","1,334.90","33.25M","0.46%"
"Jul 10, 2019","1,336.90","1,333.70","1,347.10","1,333.70","76.96M","0.24%"
"Jul 09, 2019","1,333.70","1,328.60","1,340.60","1,327.00","39.64M","0.38%"
"Jul 08, 2019","1,328.60","1,341.00","1,341.00","1,324.30","41.59M","-0.92%"
"Jul 05, 2019","1,341.00","1,332.70","1,344.80","1,331.80","54.24M","0.62%"
"Jul 04, 2019","1,332.70","1,329.90","1,338.70","1,326.70","67.42M","0.21%"
"Jul 03, 2019","1,329.90","1,319.90","1,335.30","1,313.50","81.06M","0.76%"
"Jul 02, 2019","1,319.90","1,328.20","1,330.10","1,316.90","65.79M","-0.62%"
"Jul 01, 2019","1,328.20","1,326.40","1,337.20","1,323.40","50.45M","0.14%"
"Jun 28, 2019","1,326.40","1,330.10","1,333.80","1,325.50","67.47M","-0.28%"
"Jun 27, 2019","1,330.10","1,317.30","1,330.40","1,315.30","46.58M","0.97%"
"Jun 26, 2019","1,317.30","1,333.30","1,333.80","1,317.30","62.29M","-1.20%"
