"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2019","6,897.40","7,063.60","7,063.60","6,857.70","105.66M","-2.35%"
"Aug 05, 2019","7,063.60","7,169.90","7,184.70","7,055.00","66.83M","-1.48%"
"Aug 02, 2019","7,169.90","7,198.80","7,198.80","7,122.60","69.45M","-0.40%"
"Aug 01, 2019","7,198.80","7,209.10","7,228.40","7,170.00","77.12M","-0.14%"
"Jul 31, 2019","7,209.10","7,265.30","7,265.30","7,206.90","118.63M","-0.77%"
"Jul 30, 2019","7,265.30","7,244.20","7,281.60","7,230.10","76.05M","0.29%"
"Jul 29, 2019","7,244.20","7,204.70","7,258.90","7,187.50","75.22M","0.55%"
"Jul 26, 2019","7,204.70","7,252.50","7,252.50","7,198.40","87.31M","-0.66%"
"Jul 25, 2019","7,252.50","7,173.60","7,252.50","7,173.60","83.10M","1.10%"
"Jul 24, 2019","7,173.60","7,082.90","7,173.60","7,082.90","94.70M","1.28%"
"Jul 23, 2019","7,082.90","7,058.40","7,094.40","7,054.30","91.01M","0.35%"
"Jul 22, 2019","7,058.40","7,075.50","7,089.70","7,028.80","74.12M","-0.24%"
"Jul 19, 2019","7,075.50","7,000.40","7,096.10","7,000.40","65.35M","1.07%"
"Jul 18, 2019","7,000.40","7,027.10","7,027.10","6,974.70","62.11M","-0.38%"
"Jul 17, 2019","7,027.10","6,985.50","7,033.80","6,965.20","78.23M","0.60%"
"Jul 16, 2019","6,985.50","7,014.40","7,016.90","6,981.60","91.27M","-0.41%"
"Jul 15, 2019","7,014.40","7,068.20","7,068.20","6,987.20","120.14M","-0.84%"
"Jul 12, 2019","7,073.70","7,066.30","7,101.90","7,048.60","64.02M","0.10%"
"Jul 11, 2019","7,066.30","7,058.00","7,082.30","7,013.00","110.17M","0.12%"
"Jul 10, 2019","7,058.00","7,051.40","7,112.70","7,050.40","58.33M","0.09%"
"Jul 09, 2019","7,051.40","7,073.50","7,073.50","7,017.30","55.74M","-0.31%"
"Jul 08, 2019","7,073.50","7,154.60","7,155.70","7,063.90","51.14M","-1.15%"
"Jul 05, 2019","7,155.70","7,113.80","7,173.00","7,110.60","66.95M","0.59%"
"Jul 04, 2019","7,113.80","7,041.40","7,132.30","7,041.40","66.52M","1.03%"
"Jul 03, 2019","7,041.40","7,028.10","7,055.90","6,960.60","67.37M","0.19%"
"Jul 02, 2019","7,028.10","7,103.00","7,112.80","7,007.80","70.53M","-1.05%"
"Jul 01, 2019","7,103.00","7,086.70","7,128.30","7,078.40","72.15M","0.23%"
"Jun 28, 2019","7,086.70","7,091.30","7,146.90","7,078.70","102.42M","-0.06%"
"Jun 27, 2019","7,091.30","7,050.60","7,091.30","7,029.60","58.87M","0.58%"
"Jun 26, 2019","7,050.60","7,082.50","7,082.50","7,050.60","96.26M","-0.45%"
"Jun 25, 2019","7,082.50","7,112.40","7,112.40","7,064.90","97.79M","-0.42%"
"Jun 24, 2019","7,112.40","7,094.80","7,112.40","7,054.30","66.77M","0.25%"
"Jun 21, 2019","7,094.80","7,144.50","7,144.50","7,072.30","127.57M","-0.70%"
"Jun 20, 2019","7,144.50","7,089.50","7,144.50","7,086.00","112.74M","0.78%"
"Jun 19, 2019","7,089.50","7,014.90","7,100.10","7,014.90","83.69M","1.06%"
"Jun 18, 2019","7,014.90","6,981.20","7,014.90","6,975.50","114.14M","0.48%"
"Jun 17, 2019","6,981.20","6,959.20","7,015.90","6,952.40","73.30M","0.32%"
"Jun 14, 2019","6,959.20","7,016.90","7,016.90","6,929.70","91.43M","-0.82%"
